,f,chi2,MATTE,NB,M3,HV,zscore,ENT
TSPAN6,4.992362774,0.001723692,0.069980498,,,,-1934.244119482586,-34.96609741421854
TNMD,0.908913703,0.000588804,0.0,-1.08e-34,,,0.0,0.0
DPM1,8.021888169,0.007442451,1.620603632,,,,2323.1733642814347,-36.27718030614639
SCYL3,13.48825909,0.021492717,0.511929921,,-1.05e-12,0.0,-8414.903001521921,-60.00084183469626
C1orf112,0.299421243,0.000171549,0.0,-7.71e-12,,,-76417.72868566118,-114.1002579984999
FGR,410.522857,0.420916306,2.258350157,,-5.25e-08,,4557.1499064861555,-25.939670598550634
CFH,18.17862475,0.009946967,0.03559685,-6.59e-07,,,-250853.4131940516,-161.12028741859157
FUCA2,35.60684411,0.058895422,0.213364765,-1.1e-28,,0.0,441.0886294571858,-46.46546454970663
GCLC,4.741589161,0.005013844,0.04482026,,,,-241812.88946870403,-142.73102621468905
NFYA,3.596673,0.002902666,0.077933319,-1.12e-13,,,-19964.19670766228,-78.8186681236542
STPG1,5.198882647,0.008941827,0.094386661,,,0.0,-3660.9583356083344,-48.960656057474445
NIPAL3,13.99706242,0.011283029,0.378914886,,,,1693.8522691127462,-53.05786281762002
LAS1L,7.031934891,0.005531031,1.202904258,-4.73e-12,,,-285409.93353966775,-158.73363689450665
ENPP4,24.80725628,0.026973784,0.154326097,,-0.009591769,,-1110.3907235292945,-37.13617821470404
CFTR,0.43344986,0.000123678,0.0,,,,8115.007822948799,-45.76126574902102
ANKIB1,4.903226186,0.004755673,0.624751815,,,,-54636.706802199915,-162.63518163756902
CYP51A1,1.002162408,0.000792435,0.0,,,,756.2160650013795,-38.4224207006774
KRIT1,2.506373606,0.002278723,0.355931264,,,,625.3010071405155,-47.124042473911025
RAD52,0.542953272,0.000304088,0.0,-7.67e-50,,,-3646.4478743747595,-32.790103586239304
BAD,5.67121045,0.006989144,0.224736781,,,0.0,-445.8597432863701,-50.095489845895386
LAP3,41.59166339,0.03662679,0.92677767,,,,-7011.15425862736,-60.14385546362764
CD99,624.9572879,0.961568511,1.649667272,,-1.56e-11,,28946.49709016082,-20.819045434575287
HS3ST1,11.93338737,0.023302387,0.418325964,,-0.000191122,0.0,465.27585947686885,-53.05422004442304
AOC1,1.137831848,0.000473589,0.0,,,,-16661.938973679855,-95.05697680712973
WNT16,12.03999063,0.005690336,0.0,,,,251.03961883269824,-18.949860898107154
HECW1,2.684919439,0.000660213,0.0,,,,-5258.671062642379,-30.042076492147864
MAD1L1,13.77468525,0.0084709,0.988252514,,,,-3365.4948101490954,-56.64854245404578
LASP1,32.8710527,0.028650246,0.702376319,,,,-8424.49293022671,-54.03275362566288
SNX11,7.200746929,0.005104164,0.324047972,-1.46e-65,,,-52992.684580967,-127.88316176915245
TMEM176A,81.8541609,0.047409341,0.077933468,,,,2843.662357328236,-25.928337884603856
M6PR,34.87683042,0.032550488,1.416147975,,,,6340.259266476681,-49.95400901767728
ICA1,2.340567805,0.002047145,0.018906517,,,,-17314.771410164158,-67.77858051800874
DBNDD1,12.88883799,0.012784693,0.107821481,-5.42e-06,,,-1373.699662070028,-23.974950739719176
ALS2,1.667964202,0.001150497,0.025886132,-1.7700000000000003e-21,,,-3100.842212607833,-34.47286755879785
CASP10,4.423541275,0.003408374,0.129859427,,,,-24988.15104174318,-108.08116685377696
CFLAR,27.44770882,0.029178092,1.912890629,,,,8627.66956920091,-58.948606999008085
TFPI,40.2837634,0.06386505,0.065817068,,,0.0,-20437.96686127591,-125.2674604513643
NDUFAF7,1.000112343,0.000893831,0.09953309,,,,750.1231712698761,-44.62957140794989
RBM5,17.19562313,0.01440354,0.573264734,,,,-31450.291889771866,-80.72904834970626
MTMR7,0.471960333,0.000508671,0.0,-4.31e-14,,,2190.698908254789,-7.992255089987325
SLC7A2,1.813925258,0.001443058,0.0,,,,-7278.139244541632,-24.595845810056375
ARF5,16.75919053,0.013074025,0.273257023,,,,6746.9628918120425,-46.41818522431002
SARM1,2.570675597,0.002600799,0.043760112,-1.37e-23,,,-4012.074956998033,-42.70254214555709
POLDIP2,4.317906074,0.002693829,0.411022105,,,,-4384.42597584927,-53.577494696710815
PLXND1,25.38607178,0.02302464,0.348772339,-7.87e-05,,,-27279.770512026676,-120.99747202596018
AK2,15.35018666,0.011664646,0.264656145,-1.58e-05,,,-8414.889671744813,-65.21996647221162
CD38,6.633444681,0.005901482,0.140615521,-4.16e-57,,,-7212.002267676535,-40.87296396781297
FKBP4,4.143350529,0.002676471,0.128493647,,,,4150.634313980003,-39.12833090241693
