,testdata,fea,k,ari,f1,labled,acc
f_20_10Xv2,10Xv2,f,20,0.3454162048654274,0.6079907506360338,0.12612903225806452,0.9557910120569967
f_50_10Xv2,10Xv2,f,50,0.28577648808902917,0.6707692755137408,0.29737327188940094,0.9465364946536494
f_80_10Xv2,10Xv2,f,80,0.31098494239617186,0.7147814884709273,0.3266359447004608,0.9308690744920993
f_100_10Xv2,10Xv2,f,100,0.2933981029448134,0.7337373909674043,0.31944700460829495,0.9306116560877091
f_150_10Xv2,10Xv2,f,150,0.2985829220894217,0.7351860939678946,0.3102304147465438,0.922756981580511
f_200_10Xv2,10Xv2,f,200,0.3017061924111964,0.7431703071631711,0.3036405529953917,0.9250265594172105
f_250_10Xv2,10Xv2,f,250,0.18885461947385973,0.5588688793333134,0.22963133640552996,0.8914308649407987
f_300_10Xv2,10Xv2,f,300,0.19152755049066492,0.5683321244233416,0.23170506912442396,0.8933969769291965
chi2_20_10Xv2,10Xv2,chi2,20,0.18009204706402876,0.4812666635926306,0.0988479262672811,0.9627039627039627
chi2_50_10Xv2,10Xv2,chi2,50,0.0561829480756151,0.5018558745624433,0.18640552995391704,0.9453646477132263
chi2_80_10Xv2,10Xv2,chi2,80,0.05815973326510697,0.5000976574864194,0.19138248847926267,0.9383578136287022
chi2_100_10Xv2,10Xv2,chi2,100,0.061480709622431455,0.5388743013179048,0.21746543778801844,0.9109980928162746
chi2_150_10Xv2,10Xv2,chi2,150,0.11395367066249604,0.5536936956205559,0.22423963133640554,0.898479243732018
chi2_200_10Xv2,10Xv2,chi2,200,0.11590892550824371,0.5775717903069225,0.23488479262672812,0.9015106925642535
chi2_250_10Xv2,10Xv2,chi2,250,0.11612085185611787,0.5807416024868108,0.23944700460829493,0.9058891454965358
chi2_300_10Xv2,10Xv2,chi2,300,0.1116365165435351,0.5745012649882816,0.24087557603686635,0.906829921561125
MATTE_20_10Xv2,10Xv2,MATTE,20,0.2083776836074064,0.5706737930007312,0.21391705069124423,0.9133993968117191
MATTE_50_10Xv2,10Xv2,MATTE,50,0.37392524556113765,0.7625989552169902,0.4817511520737327,0.9424143868375742
MATTE_80_10Xv2,10Xv2,MATTE,80,0.37381474468170184,0.8353438351741085,0.7164976958525345,0.9340751222022124
MATTE_100_10Xv2,10Xv2,MATTE,100,0.37123591004749196,0.8556249803610796,0.715668202764977,0.939407598197038
MATTE_150_10Xv2,10Xv2,MATTE,150,0.38040961528498785,0.9279402052198488,0.6971889400921659,0.9445435917773812
MATTE_200_10Xv2,10Xv2,MATTE,200,0.34268425430184357,0.9425436378232613,0.6885714285714286,0.9461250167313613
MATTE_250_10Xv2,10Xv2,MATTE,250,0.48831570165079147,0.9376412742987715,0.7047926267281106,0.9468418987838368
